ISO3V10,Country_Territory_Island,CMR_latest,CMR_mean,CMR_std,CMR_trend,CMR_pct_change,WAT_latest,WAT_mean,WAT_std,WAT_trend,WAT_pct_change,SAN_latest,SAN_mean,SAN_std,SAN_trend,SAN_pct_change,CHI_v2023_latest,CHI_v2023_mean,CHI_v2023_std,CHI_v2023_trend,CHI_v2023_pct_change,NRPI_v2023_latest,NRPI_v2023_mean,NRPI_v2023_std,NRPI_v2023_trend,NRPI_v2023_pct_change,infra_gap,Homicide_per100k,WGI_GovEffect,WGI_RegQuality,WGI_Corruption,WGI_RuleLaw,WGI_PolStability,WGI_VoiceAccount,Cluster_DBSCAN
MAR,Morocco,2.61,3.3630769230769224,0.6413057593091432,-0.162252747252747,-42.12860310421286,87.02,81.30153846153847,4.1927156000096275,1.072912087912088,16.13505938876283,87.52,83.34769230769231,3.361988880226886,0.8575824175824192,12.320328542094447,90.31,86.66461538461537,2.8090230074547726,0.71835164835165,9.8661800486618,21.76,21.610000000000003,0.1732050807568881,0.1199999999999963,1.397949673811746,-2.0461538461538424,,,,,,,,-1
MOZ,Mozambique,19.56,25.95846153846154,6.033000699146109,-1.4951098901098898,-45.95192042000553,63.2,51.22461538461538,7.9933812363569645,2.052087912087913,61.92672303356392,37.38,29.274615384615384,5.253506155233563,1.3488461538461542,75.32833020637901,57.83,48.18076923076923,7.139813794885762,1.823956043956045,57.40337506804571,48.77,49.495000000000005,0.8371578903249549,-0.5800000000000091,-2.8872958980485777,21.95,,,,,,,,0
MMR,Myanmar,8.37,11.25153846153846,2.3996383274493893,-0.6085714285714283,-46.2082262210797,82.38,73.46076923076923,6.605524785534279,1.6925824175824191,30.24505928853754,74.13,71.69,1.8119510663002647,0.4642857142857161,7.700130756937377,81.64,76.52076923076923,3.906213984449352,0.9997252747252782,16.329438586491868,,,,,,1.7707692307692326,,,,,,,,0
NAM,Namibia,9.95,12.07153846153846,1.1932018979329395,-0.2304395604395604,-22.92796281951976,85.91,83.53307692307693,1.6612614916351212,0.4262087912087939,6.205958709358383,35.84,34.08,1.1774619597535492,0.301923076923077,11.477449455676531,69.32,66.96307692307693,1.402529765669784,0.3495054945054961,6.564181398923899,,,,,,49.453076923076935,,,,,,,,0
NRU,Nauru,4.55,5.737692307692307,0.8899733502204232,-0.2279670329670329,-36.09550561797753,97.0,97.08461538461538,0.1284273714734906,-0.0280219780219748,-0.3697617091207882,65.93,65.87769230769233,0.0632658209664927,0.0150549450549482,0.2585158150851607,85.55,85.00692307692309,0.3961562110957528,0.1014835164835168,1.3385453683961093,,,,,,31.206923076923047,,,,,,,,1
NPL,Nepal,4.44,6.427692307692307,1.7521184979245068,-0.4413186813186811,-53.84615384615385,91.24,88.69999999999997,1.9328174599100991,0.4947802197802205,6.601238462437191,80.39,62.17615384615384,13.22912792443348,3.390824175824177,91.17717003567182,88.49,80.65692307692308,5.850222765865965,1.4987912087912092,23.86618141097424,44.78,44.98,0.2309401076758495,-0.1600000000000058,-0.8853474988933124,26.523846153846137,,,,,,,,0
NLD,Netherlands,0.55,0.5969230769230769,0.0444193305113541,-0.0108791208791208,-20.289855072463755,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,97.67,97.72923076923078,0.0444337593993466,-0.0112637362637344,-0.1431346488089158,98.97,98.9669230769231,0.0063042517195611,0.0011538461538519,0.0202122283981768,,,,,,2.2707692307692184,,,,,,,,4
NZL,New Zealand,0.79,0.9130769230769232,0.099447189953983,-0.0253296703296703,-26.16822429906542,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,99.64,99.58000000000004,0.0467261525629199,0.0119230769230774,0.1306401366696768,,,,,,0.0,,,,,,,,2
NIC,Nicaragua,1.87,2.643076923076923,0.640018028592224,-0.1626923076923076,-50.26595744680851,81.71,81.40923076923076,0.2328612440367823,0.059395604395606,0.814312152991976,73.02,71.31076923076922,2.191781853266353,0.5095054945054956,9.082760681207048,84.05,83.02153846153844,1.0899453056143535,0.2650000000000018,3.8551834919065735,41.11,40.585,0.6062177826491054,0.4199999999999918,2.621068397403887,10.098461538461535,,,,,,,,-1
NER,Niger,59.17,63.31923076923077,4.021760521501459,-0.970384615384614,-18.047091412742382,48.9,46.167692307692306,1.6334633647873966,0.4185714285714293,12.258953168044068,16.41,13.364615384615384,1.9135595774394525,0.4912087912087914,56.8833652007648,27.78,23.943076923076923,2.992299518807636,0.7508241758241768,54.24764019988895,71.14,71.325,0.2136195996001641,-0.1480000000000052,-0.5174101524262403,32.80307692307692,,,,,,,,0
NGA,Nigeria,43.29,49.646923076923066,4.306631291035151,-1.1000549450549455,-22.724027133166732,79.64,69.82692307692308,6.359074073866657,1.632857142857144,32.62281432139884,46.57,40.36769230769231,3.8585838374679944,0.9900000000000004,34.24618045546268,55.42,47.14230769230768,5.389369403195754,1.382472527472529,41.92061459667095,32.89,32.85,0.046188021535169,0.0319999999999939,0.2438281011886567,29.45923076923077,,,,,,,,0
NIU,Niue,3.77,4.76,0.7750591375286576,-0.1979670329670328,-37.58278145695364,97.01,97.52538461538462,0.487760449821687,-0.1225274725274712,-1.3624809354346612,97.43,98.12769230769231,0.5891541089583958,-0.1498901098901086,-1.6653209527654336,96.41,96.3546153846154,0.0328165061656961,0.0008241758241781,0.0622729631551658,,,,,,-0.60230769230769,,,,,,,,2
MKD,North Macedonia,0.66,1.066153846153846,0.2578287048131782,-0.0526373626373625,-44.53781512605042,97.84,97.55846153846151,0.2066739039262158,0.0529670329670346,0.6170300287947436,98.98,95.9392307692308,2.3348071352842754,0.5974175824175837,7.3419368832014,98.63,97.34,0.9428414500858536,0.2412637362637386,2.8145522777024796,,,,,,1.6192307692307253,,,,,,,,1
NOR,Norway,0.4,0.4923076923076924,0.0698991948158019,-0.0178571428571428,-34.42622950819671,100.0,100.0,0.0,-1.1147911615022624e-15,0.0,98.05,98.0553846153846,0.0051887452166303,-0.0011538461538418,-0.0101978380583368,99.16,99.12307692307694,0.0311941809169106,0.0079120879120903,0.0908448571717002,,,,,,1.9446153846154033,,,,,,,,2
OMN,Oman,1.46,1.563846153846154,0.0672728847727004,-0.017087912087912,-12.048192771084336,92.44,90.48923076923076,1.5843529780242644,0.4030219780219832,5.236794171220394,99.32,98.69692307692304,1.0495505753685272,0.2173626373626413,3.221783413011842,96.58,95.67461538461538,0.8777111843180103,0.214945054945057,2.8321976149914785,,,,,,-8.20769230769227,,,,,,,,1
PAK,Pakistan,11.14,14.366923076923076,2.4632308885397665,-0.6304395604395601,-39.15892954669579,90.63,89.73153846153845,0.5915212894710015,0.1518681318681287,2.0608108108108087,70.53,60.123076923076916,6.813801416506775,1.7495604395604405,42.42730210016155,81.91,76.65153846153845,3.602713898701567,0.9246703296703312,15.382448232145377,39.89,39.215,0.7794228634059956,0.5399999999999957,3.502854177477949,29.608461538461533,,,,,,,,0
